Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
HIVEP2 human	4/6	0.000124845851742135	0.0359556053017348	0	0	34.485401459854	309.969643519084	HLA-B;HLA-A;HLA-F;HLA-E
IRF2 human	3/8	0.00754134269347911	0.731998314233523	0	0	10.334548769371	50.5086089806034	CIITA;DST;CXCR4
TP63 human	4/15	0.00762498243993254	0.731998314233523	0	0	6.26708692767087	30.5603542885765	TCF4;BRCA1;KLF4;DDB2
ZNF148 human	3/9	0.0108533043395538	0.781437912447871	0	0	8.61166818596171	38.9530355409355	ODC1;IRS2;VIM
MYC human	11/100	0.021440657223718	0.789635834989038	0	0	2.13494495516967	8.2034540194475	CDC34;SART3;ODC1;SRSF1;HLA-B;EP300;CXCR4;HLA-A;HLA-F;CD33;HLA-E
RUNX3 human	5/30	0.0225762601547845	0.789635834989038	0	0	3.44748858447489	13.0689340279563	TIAL1;CAPN10;TCF4;DNASE1;RUNX1
APC human	3/12	0.025124836494471	0.789635834989038	0	0	5.74020054694622	21.1463157271395	DNMT1;ODC1;KLF4
CIITA human	5/31	0.0257352280330248	0.789635834989038	0	0	3.3147172462241	12.1315153691333	IRF1;HLA-B;HLA-A;HLA-F;HLA-DRB1
STAT1 mouse	5/34	0.0368489062362728	0.789635834989038	0	0	2.9713430955755	9.8081936102244	CIITA;TBX21;IRF1;GBP2;RUNX2
NF1 human	3/14	0.0383114707728895	0.789635834989038	0	0	4.69603049639513	15.3184793250555	MSH2;FOS;DDB2
ZEB2 human	2/6	0.0390957389702998	0.789635834989038	0	0	8.60473588342441	27.8943319540071	ITGA5;VIM
MTF1 mouse	2/6	0.0390957389702998	0.789635834989038	0	0	8.60473588342441	27.8943319540071	DNMT1;EP300
TWIST2 human	4/25	0.0457805438926826	0.789635834989038	0	0	3.28102189781022	10.1183305820249	RBL2;ATM;FOS;RUNX2
FOXO4 mouse	2/7	0.0527687944139587	0.789635834989038	0	0	6.88342440801457	20.2499007560846	RBL2;BCL2L11
HDAC3 mouse	2/7	0.0527687944139587	0.789635834989038	0	0	6.88342440801457	20.2499007560846	NR4A2;FOS
STAT4 mouse	2/7	0.0527687944139587	0.789635834989038	0	0	6.88342440801457	20.2499007560846	TBX21;IL18R1
IRF1 human	6/51	0.0598677953463317	0.789635834989038	0	0	2.29798903107861	6.47025596769878	CIITA;DST;NCF2;DDX58;HLA-A;POLH
FOXC1 mouse	2/8	0.0678446334222823	0.789635834989038	0	0	5.73588342440801	15.4325950551638	CXCR4;RUNX2
BRCA1 human	6/57	0.091998547117633	0.789635834989038	0	0	2.02699214969352	4.83636778516597	KHSRP;EP300;ATM;FOS;E2F6;DDB2
RB1 mouse	3/20	0.0942255901450999	0.789635834989038	0	0	3.03764276904928	7.17510504003549	DNMT1;BIN1;FOS
MYCN human	5/45	0.0995240657496279	0.789635834989038	0	0	2.15296803652968	4.96766328034244	CIITA;HLA-B;HLA-A;HLA-F;HLA-E
TAL1 mouse	2/10	0.10144040957528	0.789635834989038	0	0	4.30145719489982	9.84295460337859	TCF3;RUNX1
MBD2 human	2/10	0.10144040957528	0.789635834989038	0	0	4.30145719489982	9.84295460337859	MSH2;ALOX5
CTNNB1 human	3/22	0.117564249616006	0.789635834989038	0	0	2.71760303219306	5.8177638302426	STARD7;TCF7;VIM
TP53 human	13/164	0.118570461290336	0.789635834989038	0	0	1.48496073402097	3.16630438453181	CYFIP2;DNMT1;HSP90AB1;OGG1;TNFRSF10A;BRCA1;PRKAB1;DDB2;SLC6A6;ALOX5;CARM1;TBXAS1;UHRF1BP1
ID1 mouse	2/11	0.119619954629638	0.789635834989038	0	0	3.82331511839709	8.11856345785995	REL;RUNX2
ID2 mouse	2/11	0.119619954629638	0.789635834989038	0	0	3.82331511839709	8.11856345785995	TCF3;RUNX2
LDB1 mouse	2/11	0.119619954629638	0.789635834989038	0	0	3.82331511839709	8.11856345785995	TCF3;RUNX1
PRDM1 mouse	2/11	0.119619954629638	0.789635834989038	0	0	3.82331511839709	8.11856345785995	TNFRSF17;MAP3K5
STAT2 human	2/11	0.119619954629638	0.789635834989038	0	0	3.82331511839709	8.11856345785995	SCARB2;IRF1
STAT4 human	2/11	0.119619954629638	0.789635834989038	0	0	3.82331511839709	8.11856345785995	IRF1;TBX21
TWIST1 human	4/35	0.124042923935299	0.789635834989038	0	0	2.2214504356016	4.63645054396286	RBL2;ATM;FOS;RUNX2
E2F4 human	3/23	0.129960159043375	0.789635834989038	0	0	2.58158614402917	5.2677971188024	LTBP4;BRCA1;MAP3K5
E2F1 mouse	5/49	0.130522707787563	0.789635834989038	0	0	1.95682855956829	3.98451008761751	NRP1;DNMT1;BIN1;ATM;DDB2
FOXP3 mouse	2/12	0.138518990261666	0.789635834989038	0	0	3.4408014571949	6.80159687917866	CTLA4;BRCA1
HDAC4 human	3/24	0.142791105817524	0.789635834989038	0	0	2.45852324521422	4.78520207248347	TGIF1;KLF4;RUNX2
USF1 human	6/65	0.146537775557006	0.789635834989038	0	0	1.75140210082732	3.36351874815348	CIITA;APC;TBX21;APEX1;CXCR4;FBP1
CREBBP human	3/25	0.156019823946024	0.789635834989038	0	0	2.34664788265518	4.35953720716314	IRF1;EP300;BRCA1
IRF1 mouse	3/25	0.156019823946024	0.789635834989038	0	0	2.34664788265518	4.35953720716314	CIITA;GBP2;MYD88
AR mouse	2/13	0.158003562510561	0.789635834989038	0	0	3.12783573439311	5.77128762878893	RUNX2;CCR2
NFYC human	2/13	0.158003562510561	0.789635834989038	0	0	3.12783573439311	5.77128762878893	FXR2;FOS
NFE2L2 mouse	5/53	0.165298005365608	0.789635834989038	0	0	1.79337899543379	3.22809177018521	ABCC4;GCLC;SRXN1;FOS;RUNX2
MITF human	3/26	0.169609188998468	0.789635834989038	0	0	2.24450081249257	3.98232436802225	BCL2A1;FOS;BEST1
EZH2 human	4/40	0.175903134988104	0.789635834989038	0	0	1.91240875912409	3.32342564137013	CIITA;APC;RPLP0;BRCA1
EZH2 mouse	2/14	0.177952252413854	0.789635834989038	0	0	2.86703096539162	4.94918356104947	BCL2L11;TBX21
NFYB human	2/14	0.177952252413854	0.789635834989038	0	0	2.86703096539162	4.94918356104947	FXR2;FOS
PAX5 mouse	2/14	0.177952252413854	0.789635834989038	0	0	2.86703096539162	4.94918356104947	BLK;CD72
SNAI2 human	2/14	0.177952252413854	0.789635834989038	0	0	2.86703096539162	4.94918356104947	UBE2D3;CXCR4
STAT1 human	7/84	0.178927640665038	0.789635834989038	0	0	1.5655826332862	2.6940135723408	CIITA;PLSCR1;PRKCE;IRF1;TBX21;HLA-E;SMARCA4
HDAC2 human	3/27	0.183522459676297	0.789635834989038	0	0	2.15086599817685	3.64661740837059	DNMT1;ALOX5;KLF4
TBP human	2/15	0.198255204445256	0.789635834989038	0	0	2.64635000700574	4.28232402296244	IGFBP4;FOS
NRF1 human	2/15	0.198255204445256	0.789635834989038	0	0	2.64635000700574	4.28232402296244	FXR2;CXCR4
LEF1 human	3/29	0.212176876845041	0.789635834989038	0	0	1.98520440361826	3.07773192352731	CTLA4;TCF4;TCF3
NFE2L2 human	2/16	0.218813223643163	0.789635834989038	0	0	2.45719489981785	3.73379800903198	GCLC;BRCA1
PITX1 human	2/16	0.218813223643163	0.789635834989038	0	0	2.45719489981785	3.73379800903198	RUNX2;RUNX1
RB1 human	3/31	0.241703903593431	0.789635834989038	0	0	1.84320875113947	2.61743354800276	BRCA1;FOS;MAP3K5
AR human	7/93	0.250648438888148	0.789635834989038	0	0	1.40107236324177	1.93866938223235	ELK4;PTPN1;BTG1;EP300;VIM;GTF2F1;FKBP4
USF2 human	4/47	0.257963739384592	0.789635834989038	0	0	1.60049227635376	2.16856500141039	APC;CXCR4;BRCA1;FBP1
RBPJ mouse	2/18	0.260346014817999	0.789635834989038	0	0	2.14981785063752	2.89310384263371	LFNG;FOS
ESR2 human	2/19	0.28116844757772	0.789635834989038	0	0	2.0232508303868	2.56710334791612	FOS;PELP1
NR3C1 mouse	2/19	0.28116844757772	0.789635834989038	0	0	2.0232508303868	2.56710334791612	BRCA1;RUNX2
PML human	2/19	0.28116844757772	0.789635834989038	0	0	2.0232508303868	2.56710334791612	UBA7;EP300
FOXO1 mouse	4/49	0.282711379258606	0.789635834989038	0	0	1.52919708029197	1.93187865587172	BCL2L11;IKZF1;RUNX2;CCR2
CEBPZ human	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	APC
ZBTB7A human	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	FOS
ZBTB7A mouse	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	BCL2L11
DLX3 mouse	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	RUNX2
ETV5 mouse	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	ELMO1
HAND2 mouse	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	RUNX2
HDGF human	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	VIM
HESX1 mouse	1/6	0.287848854383714	0.789635834989038	0	0	3.4385805277525	4.28213223552626	DNMT1
