Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
CIITA human	16/31	0.000113879789091073	0.02196752447283	0	0	4.16552853516744	37.824528463058	HLA-DRB5;STAT1;HLA-B;HLA-A;HLA-F;SIRT1;HLA-G;HLA-DMA;IRF1;IRF2;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DRB1;HLA-DQB1
RFXANK human	10/15	0.00013616234177374	0.02196752447283	0	0	7.803777287221	69.4665931545931	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
RFXAP human	10/15	0.00013616234177374	0.02196752447283	0	0	7.803777287221	69.4665931545931	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
RFX5 human	11/18	0.000193456241593575	0.0234082052328226	0	0	6.13227253609982	52.4337462011038	HLA-DRB5;HDAC2;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
HSF1 human	15/31	0.000461190167148104	0.0446432081799364	0	0	3.65997973968566	28.114866695536	JUN;ABCB1;HSPA4;TNF;HLA-G;NFKB1;HOPX;STIP1;LDHA;NAT1;POLK;FKBP4;ATG7;MAP3K14;MICA
TP53 human	50/164	0.00145650628176219	0.117491506728817	0	0	1.71646915157599	11.211486735648	CYFIP2;RB1;BTG2;CD82;SLC2A1;MKI67;AQP3;IPO7;ING1;BBC3;RASSF1;XPO1;CASP3;AKT1;TRIM22;PAX5;NME1;CCNA2;DDB1;VCAN;RRM2B;ADGRB1;BIRC5;DNMT1;ABCB1;XPC;TYMS;PTPA;IFI16;ALOX5;PERP;EGR1;TCF7L2;SMAD3;STAT1;STAT3;TNFRSF10A;NFKB1;PML;KLF2;SLC6A6;REEP5;CDK4;TBXAS1;BCL3;BCL2;CDK1;BAX;CTNNB1;MDM4
HIVEP2 human	5/6	0.00177085086769404	0.122441688566274	0	0	19.4904458598726	123.497217216419	HLA-B;HLA-A;HLA-F;HLA-G;HLA-E
PER1 mouse	6/9	0.00343487280430305	0.207809804660335	0	0	7.79710855182553	44.2390425623312	EGR1;BHLHE40;CRY2;CREM;FXYD5;ARNTL
HSF2 human	5/7	0.00514970200227316	0.267993604838817	0	0	9.74461048505635	51.3425638238823	MAP2K4;MAPK8;HSPA4;TXN;HIF1A
MYCN human	17/45	0.00553705795121523	0.267993604838817	0	0	2.36964724464724	12.3133789609895	HDAC2;ABCC1;ABCB1;HLA-B;HLA-A;HLA-F;NDRG1;HLA-G;HLA-E;DDB1;MXI1;MCM3;BIRC5;BAX;MCM5;SKP2;CD44
RUNX3 human	12/30	0.0112246774390488	0.493885807318149	0	0	2.60040899795501	11.6749017662598	TIAL1;CASP7;CASP8;CASP3;TRAF6;ICAM3;CASP2;CD36;CFLAR;ING1;TXN2;RUNX1
MYC mouse	17/49	0.0142766318754242	0.553563626559678	0	0	2.07291922604423	8.80810578532173	SUZ12;NOP56;HDAC2;EED;CDKN2A;SLC11A1;NDRG1;ZFP36;CCND2;NFIA;CDK4;MXI1;BCL2;SNAI1;BAX;BCAT1;EIF4E
